Data,Retorno
2012-01-02,0.004041499919318126
2012-01-03,-0.027015152295360667
2012-01-04,-0.0029606989701519426
2012-01-05,-0.0007452531068316004
2012-01-06,0.002247462224682195
2012-01-09,0.0005684043739617728
2012-01-10,-0.005067186633990972
2012-01-11,-0.006627758926362581
2012-01-12,0.001842142664447266
2012-01-13,0.004657981934534261
2012-01-16,-0.0005681847757734726
2012-01-17,-0.004377999829393797
2012-01-18,-0.005299201851109103
2012-01-19,0.005366451533624916
2012-01-20,-0.00010361088641097638
2012-01-23,-0.003940379104478864
2012-01-24,0.0014760981423296293
2012-01-25,0.0014286145657349536
2012-01-26,-0.0071888953493258745
2012-01-27,-0.00010791794344744421
2012-01-30,0.0008571176503020528
2012-01-31,0.0005908531485621094
2012-02-01,-0.008211800580329998
2012-02-02,0.002627039400132647
2012-02-03,-0.004333131647153321
2012-02-06,0.0004942580563436216
2012-02-07,0.000897845233150063
2012-02-08,-0.0031925692763299374
2012-02-09,0.005960639599885242
2012-02-10,0.012982498433655065
2012-02-13,-0.009486632127753691
2012-02-14,0.007068639331181403
2012-02-15,0.007193756911810345
2012-02-16,0.0017895310258790875
2012-02-17,0.006355332674801373
2012-02-22,0.005018372881935962
2012-02-23,0.004151430804230749
2012-02-24,0.0022381509344695516
2012-02-27,0.005195992853153086
2012-02-28,0.002274040019094592
2012-02-29,0.005420918271990205
2012-03-01,0.0003596724471222057
2012-03-02,-0.00487640260108313
2012-03-05,0.008937784086227252
2012-03-06,0.006412860468061998
2012-03-07,0.001963894886293671
2012-03-08,-0.005344138010424104
2012-03-09,0.0006442399071895366
2012-03-12,0.002858743543825426
2012-03-13,-0.006851625455712718
2012-03-14,0.0026432272807181967
2012-03-15,0.0020493547731914585
2012-03-16,-0.00147211816417403
2012-03-19,0.0011641289851784808
2012-03-20,0.005970576872150302
2012-03-21,0.004328309545177378
2012-03-22,0.00652763365624387
2012-03-23,0.004410580580928691
2012-03-26,0.006224584803602662
2012-03-27,0.0063931720198124875
2012-03-28,0.004560070829906282
2012-03-29,9.431851435381944e-05
2012-03-30,0.005449352391442286
2012-04-02,0.001058042260820402
2012-04-03,0.007787148855029402
2012-04-04,0.0044911562211031875
2012-04-05,0.0027357620004127003
2012-04-09,0.001294906374128324
2012-04-10,0.0066905838692423725
2012-04-11,-0.0018073354928652696
2012-04-12,-0.0064250166762948036
2012-04-13,0.006729593762328179
2012-04-16,0.004272320334512525
2012-04-17,-0.002407680172105686
2012-04-18,0.0048675651178788915
2012-04-19,0.005947732941558037
2012-04-20,0.0007808105117963482
2012-04-23,0.002183086565800796
2012-04-24,1.7216031276801047e-05
2012-04-25,0.0006281665031753203
2012-04-26,-0.0008495304511407786
2012-04-27,0.009466633482595466
2012-04-30,-2.7445292256622622e-05
2012-05-02,-0.005737456612380898
2012-05-03,0.005697604794407285
2012-05-04,0.009913410959580427
2012-05-07,0.0007651595173794323
2012-05-08,0.0050979507936010915
2012-05-09,-0.0009323227029274239
2012-05-10,0.006214594621911429
2012-05-11,0.005586865747134295
2012-05-14,0.001050203449280751
2012-05-15,0.0043346087348064
2012-05-16,3.479330625610899e-05
2012-05-17,0.010395745308218851
2012-05-18,-0.0050306857854584
2012-05-21,-0.011813230542295106
2012-05-22,0.011796555594070446
2012-05-23,-0.00260012694566103
2012-05-24,-0.0005886519819691127
2012-05-25,0.001936022954986294
2012-05-28,0.003971701788273663
2012-05-29,-0.0002538980228742327
2012-05-30,-0.00048412906746797546
2012-05-31,-0.008573189243009649
2012-06-01,-0.006255296327801085
2012-06-04,0.001678855903735954
2012-06-05,0.0010612871489172893
2012-06-06,-0.004790131888193105
2012-06-08,0.0017079970552507096
2012-06-11,0.003746524355589198
2012-06-12,0.0027793154413398025
2012-06-13,-0.007246299235155296
2012-06-14,-0.0051364681022606495
2012-06-15,-0.0015643372514688725
2012-06-18,0.00542911233240484
2012-06-19,-0.002344072274668263
2012-06-20,-0.0037195885337194534
2012-06-21,0.00963226942289852
2012-06-22,-0.002132006302311029
2012-06-25,0.010212939044958791
2012-06-26,0.0024175112780331354
2012-06-27,0.005603600772366324
2012-06-28,-0.006079070246725271
2012-06-29,-0.00843772987996838
2012-07-02,-0.0029124279713864665
2012-07-03,-0.005812074632354114
2012-07-04,0.003353958348837338
2012-07-05,-0.0065314063695445235
2012-07-06,0.0034217816196298045
2012-07-09,-0.017445774917730028
2012-07-10,0.009055006884182815
2012-07-11,-0.0038824205779806054
2012-07-12,-0.0016355087768260557
2012-07-13,-0.007980343306388193
2012-07-16,0.007325944630646619
2012-07-17,0.0020607747637824136
2012-07-18,-0.004284158538469085
2012-07-19,-0.00312922313177344
2012-07-20,0.0012409885640671803
2012-07-23,0.013887687499917867
2012-07-24,0.0025811873824452825
2012-07-25,-0.0003880474596379413
2012-07-26,0.0005792394177048799
2012-07-27,-0.0038133591028466363
2012-07-30,0.0002562871633813302
2012-07-31,0.012668855223469944
2012-08-01,0.013557610635421824
2012-08-02,-0.009030869341577374
2012-08-03,-0.003166829691193973
2012-08-06,0.0008088456996164783
2012-08-07,0.004996932607604476
2012-08-08,-0.007158939571888845
2012-08-09,-0.001172887756357821
2012-08-10,0.0033256417258327176
2012-08-13,0.001915830966848553
2012-08-14,0.0025226094316526115
2012-08-15,-0.004827254514919721
2012-08-16,-0.007142554332562723
2012-08-17,0.0024462473836301957
2012-08-20,-0.006409227821674968
2012-08-21,0.010763721347960109
2012-08-22,0.005443449019749247
2012-08-23,0.005338747300082103
2012-08-24,0.004599591570535466
2012-08-27,0.0006895401046651539
